,Venue id,Rating
115,4b13f568f964a520f29a23e3,6.6
116,58a881442520ae596a926970,6.4
117,4be0ab542aed2d7f0328c96f,0.0
118,4be349d763609c7439e11bff,7.5
119,5a119e738a6f175e860cac17,7.5
120,52acedc011d2bf5586251c3c,7.3
121,4ae9c951f964a5206bb621e3,6.1
122,4e4e7aa06365e1419d021044,8.6
123,50cc21c37ab4d9c0594b6994,8.8
124,5412007d498e1e2d959ac35e,8.3
125,4c8c21fdf0ce236ab28e15ef,8.0
126,4b17c9f5f964a5202fc823e3,8.4
127,553c2ae7498e53f7c3086919,7.9
128,4ad4c05ff964a5202df720e3,7.3
129,5240dfbc11d213427c8ec7d5,7.2
130,5532f36f498e09dc3233709d,7.1
131,4bca992068f976b017d35f83,6.1
132,4c17b5316a21c9b6c7eac797,0.0
133,5887c1fae18e652451270eb7,0.0
134,5bd2379cbcbf7a0039a2d7b9,8.9
135,4caf69ae9b34199c9a2ab763,8.4
136,534c20fa498ee7bc010834ce,8.2
137,4fb593c0e4b05a76e2ab2951,8.2
138,5966b520fc9e94307406dafe,8.2
139,4a72360ef964a52098da1fe3,8.0
140,5a69ba9112138476a91996f8,7.8
141,4bedf8b5e24d20a17b567214,8.4
142,4ad4c061f964a520abf720e3,7.7
143,4ba6b463f964a520416a39e3,7.7
144,4afca145f964a5208e2422e3,8.1
145,4c193c77838020a1e768e561,7.7
146,4bdcc9cf462b2d7f1f65113c,7.8
147,4e52a293483bf6d4ed3a4665,7.8
148,527beeb211d295bc9cbfb692,8.1
149,4bf46b5c94af2d7f86953a72,8.1
150,4ae787b9f964a52020ac21e3,7.5
151,59c54d4f2d2fd97564d4cfc8,7.8
152,51644249e4b0adc5d22d0257,7.6
153,5acd155ea879216dfece538d,7.2
154,5a1f102a646e38375b20d8fd,7.6
155,4ae09a2af964a520d58021e3,7.1
156,4c531b60a724e21e029e3af4,6.6
157,590d735f6eda0206a58dbfd5,6.5
158,4af0b965f964a52094de21e3,6.3
159,5d9cb1366b856700084978a2,5.7
160,5612b1cc498e3dd742af0dc8,8.4
161,53a22c92498ec91fda7ce133,8.1
162,509e9ef6e4b0ab175389a6c5,8.0
163,4b2bd898f964a52042bc24e3,8.7
164,4e5d8181a8092f63968617ee,8.1
165,4adc9148f964a520512d21e3,7.5
166,4ad4c061f964a52095f720e3,7.5
167,4df909dfe4cd2129701c0690,7.7
